Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
Frestea Apel (Botol),100 ml,44.0,11.2,0.0,0.0
Saus Apel Dengan Gula,100 g,76.0,19.91,0.18,0.18
Bontea Green Original,100 g,333.33,100.0,0.0,0.0
Lovy Cookies Chocobutter,100 g,450.0,70.0,17.5,10.0
Lovy Cookies Coffeeccino,100 g,500.0,60.0,25.0,5.0
Jeruk Santang,100 g,47.0,11.75,0.12,0.94
Jeruk Sunkist,100 g,51.95,12.34,0.0,0.65
Jus Jeruk Peras Segar,100 g,11200.0,2579.0,50.0,174.0
Jeruk,100 g,51.95,12.34,0.0,0.65
Jeruk Bali,100 g,32.0,8.08,0.1,0.63
Jus Jeruk,100 g,11200.0,2579.0,50.0,174.0
"Jus Jeruk (Dingin, Termasuk Dari Konsentrat)",100 g,11000.0,2505.0,67.0,199.0
Jeruk Peras,100 g,357.14,100.0,0.0,0.0
Floridina Coco,100 ml,51.43,12.0,0.0,0.0
Isi 2 Soto Koya Jeruk Nipis,100 g,464.29,65.18,18.75,8.93
Refresh Rasa Jeruk,100 g,10000.0,2500.0,0.0,0.0
Soda Jeruk,100 ml,51.14,13.07,0.0,0.0
Nasi Daun Jeruk Ayam Sambal Matah,100 g,590.0,69.0,26.0,20.0
Minum Jus Jeruk,100 g,13400.0,3339.0,0.0,50.0
Pulpy Orange,100 ml,43.33,11.33,0.0,0.0
Fanta Orange,100 ml,20.0,4.4,0.0,0.0
Jeju Orange,100 g,357.14,100.0,0.0,0.0
Jus Jeruk Beku (Dilarutkan Dengan Air),100 g,11200.0,2714.0,15.0,169.0
Jeruk Extra Manis,100 g,363.64,90.91,0.0,0.0
Sunkist,100 ml,52.31,12.62,0.0,0.0
Jus Jeruk Bali,100 g,9400.0,2213.0,25.0,128.0
Jus Jeruk Bali Merah Muda,100 g,9600.0,2272.0,25.0,124.0
Jus Jeruk Bali Segar,100 g,9600.0,2272.0,25.0,124.0
American Sweet Orange,100 g,5000.0,1300.0,0.0,0.0
Orange Flavor,100 ml,53.85,11.54,0.0,0.77
Jeruk Nipis Jahe,100 g,409.09,100.0,0.0,0.0
Jeruk Nipis,100 g,363.64,100.0,0.0,0.0
Permen Jeruk,100 g,400.0,93.33,0.0,0.0
Squeezed Orange Less Sugar,100 ml,30.0,7.5,0.0,0.0
Daun Jeruk,100 g,12.0,4.05,0.08,0.27
Madurasa Jeruk Nipis,100 g,320.0,80.0,0.0,0.0
"Jeruk Keprok (Jeruk Mandarin, Jus Kemasan, Kalengan)",100 g,9200.0,2383.0,7.0,154.0
Tropic Calamansi,100 ml,40.0,9.2,0.0,0.4
Coconut Water Rasa Jeruk,100 g,32.0,8.4,0.0,0.0
Squash Delight Jeruk Florida,100 ml,137.93,34.48,0.0,0.0
Pulpy 4X Extra Vit C,100 ml,30.0,7.67,0.0,0.0
Jus Jeruk Bali Putih,100 g,9600.0,2272.0,25.0,124.0
Squash Orange,100 ml,200.0,46.67,0.0,0.0
Golden Orange,100 ml,48.0,10.8,0.0,0.8
Lofet Kacang Rasa Daun Jeruk,100 g,600.0,20.0,44.0,32.0
Orange Water C,100 ml,24.0,6.4,0.0,0.0
Sari Buah Jeruk,100 ml,40.0,9.5,0.0,1.0
Rasa Jeruk,100 ml,40.0,8.67,0.67,0.33
Cerelac Apel Jeruk Pisang,100 g,420.0,66.0,9.0,16.0
Keripik Talas Pedas Daun Jeruk,100 g,500.0,65.0,25.0,5.0
Bumbu Sachet Nasi Daun Jeruk,100 g,400.0,60.0,20.0,0.0
Susu Uht Full Cream (250Ml),100 ml,60.0,4.8,3.2,3.2
Susu,100 g,12200.0,1149.0,488.0,803.0
Kental Manis,100 g,250.0,57.5,10.0,2.5
Ultra Mimi Full Cream,100 ml,64.0,4.8,3.2,3.2
Susu Uht Full Cream (200Ml),100 ml,60.0,5.0,3.0,3.0
Uht Full Cream Milk,100 g,16000.0,1100.0,900.0,800.0
Susu Murni,100 ml,62.0,4.66,3.35,3.32
Susu Uht Low Fat High Calcium,100 ml,44.0,5.2,1.2,3.2
Susu Uht Full Cream,100 ml,60.0,5.0,3.0,3.0
Susu Low Fat,100 g,10000.0,1200.0,300.0,700.0
Susu Uht Rasa Stroberi,100 ml,75.0,11.0,2.25,3.0
Purefarm Full Cream,100 g,13000.0,1000.0,700.0,700.0
Low Fat Milk,100 g,11000.0,1200.0,300.0,900.0
Susu Coklat,100 g,19000.0,2888.0,525.0,770.0
Choco Malt,100 ml,90.0,13.5,3.5,1.0
Non Fat Milk,100 ml,35.0,5.5,0.0,3.0
Susu Kental Manis,100 g,325.0,57.5,10.0,2.5
Dancow Full Cream,100 g,444.44,40.74,29.63,22.22
Susu Bear Brand,100 ml,63.49,4.76,3.7,3.17
Fresh Milk Choco Sea Salt,100 ml,100.0,13.2,3.6,3.2
Ultra Mimi Kids Full Cream,100 ml,64.0,4.8,3.2,3.2
Hi-Calcium Skimmed Milk,100 g,9000.0,1100.0,0.0,1100.0
Oat Milk,100 ml,59.0,6.6,3.0,1.0
Prostar 100% Casein Protein,100 g,909.09,116.67,9.09,83.33
Nutrive Benecol Strawberry,100 ml,60.0,8.0,2.0,1.0
Susu Rasa Sereal Stroberi,100 ml,64.0,11.2,2.0,0.8
Milky Strawberry,100 g,11000.0,1500.0,450.0,400.0
Susu Evaporasi,100 g,125.0,12.5,6.25,5.0
Susu Uht Rasa Cokelat,100 ml,75.0,11.5,2.25,2.0
Susu Putih Manis,100 ml,77.78,8.89,3.33,3.33
Soy Milk Unsweetened,100 ml,31.2,0.4,2.2,1.88
Uht Milk Low Fat High Calcium,100 ml,40.0,4.5,1.25,3.0
Almond Milk,100 ml,26.0,1.5,2.1,0.6
Susu Uht Rasa Coklat,100 ml,88.0,11.2,3.6,4.0
Wrp On The Go,100 ml,75.0,12.0,1.5,3.5
Susu Cappuccino,100 ml,45.0,3.5,2.5,2.5
Double Belgian Chocolate With Pistachio Milk,100 ml,25.0,2.22,1.67,0.56
Fresh Milk,100 ml,65.0,4.5,4.0,3.0
Cereal Chocolate Milk Drinks,100 ml,85.0,15.0,2.0,1.5
Almond Breeze Original,100 ml,25.0,3.33,1.11,0.56
Goalll!,100 ml,105.88,14.12,5.88,1.18
Susu (2% Rendah Lemak Dengan Tambahan Vitamin A),100 g,12200.0,1142.0,481.0,805.0
Haenam Goguma,100 ml,66.67,9.44,1.94,2.22
Almond Breeze Latte,100 ml,33.33,4.44,1.11,1.11
Purefarm Kacang Hijau,100 g,62.22,9.78,1.33,2.67
Skim Milk Plain Fiber Pro,100 g,346.15,57.69,0.0,26.92
Rasa Kacang Hijau,100 g,428.57,77.14,10.0,8.57
Soya Bean Milk,100 ml,69.0,7.6,3.0,2.7
Bulgarian Style Yogurt Mango,100 ml,88.0,14.4,2.0,2.4
Susu Vanila,100 g,400.0,55.0,10.0,25.0
Yogurt Rasa Stroberi,100 ml,100.0,14.4,3.6,2.4
Carnivor,100 g,335.14,21.62,0.0,62.16
Susu Pasteurisasi Rasa Vanilla,100 g,13000.0,2200.0,300.0,400.0
Gold Plus,100 g,328.57,48.57,1.43,28.57
Daily Formula,100 g,25000.0,4200.0,400.0,1200.0
Whey Protein,100 g,15000.0,2100.0,200.0,1200.0
Fresh Milk Low Fat,100 g,9000.0,1100.0,250.0,600.0
Susu Uht Coklat,100 ml,85.0,13.0,2.5,2.0
V-Soy Multi-Grain,100 ml,69.0,7.6,3.0,2.7
Susu Kental Manis Cokelat,100 g,325.0,55.0,11.25,2.5
Lose Weight,100 g,388.89,61.11,2.78,25.93
Susu (Susu Murni),100 g,14600.0,1103.0,793.0,786.0
Thai Milk Green Tea,100 ml,52.0,10.0,2.4,1.6
1% Lemak Susu,100 g,10200.0,1218.0,237.0,822.0
Matcha Green Tea Latte With Walnut Milk,100 ml,33.33,1.67,2.78,0.56
Susu Dengan Lemak Yang Telah Dikurangi,100 g,12200.0,1142.0,481.0,805.0
Susu Kedelai,100 ml,54.0,5.1,1.99,4.64
Hi-Calcium Low Fat Milk,100 ml,40.0,4.5,1.25,3.0
Susu Tawar,100 ml,58.0,5.0,3.0,2.8
Chocolate Taro (Botol),100 ml,35.0,7.5,0.0,1.0
Topping Kental Manis,100 ml,350.0,120.0,0.0,0.0
Uht Full Cream,100 ml,60.0,5.0,3.0,3.0
Dairy Milk Chocolate,100 ml,550.0,60.0,30.0,10.0
Sereal 2 In 1,100 g,416.67,83.33,8.33,4.17
Susu Uht Low Fat,100 g,4500.0,550.0,125.0,350.0
Low Fat Source Of Calcium (200Ml),100 ml,65.0,10.0,1.0,3.5
Susu Almond Manis,100 g,5900.0,633.0,351.0,148.0
Susu Uht Vanilla,100 ml,57.89,7.89,2.11,2.11
Susu Kental Manis Tiga Sapi,100 g,120.0,22.0,3.5,1.0
Avocado Strawberry Sundae,100 ml,100.0,16.0,3.5,1.0
Susu Almond,100 g,4000.0,140.0,358.0,151.0
Skm Coklat,100 g,333.33,57.14,9.52,2.38
2% Lemak Susu,100 g,50.0,4.68,1.97,3.3
Chil-Go Pisang,100 ml,67.86,10.0,2.14,2.14
Minuman Serbuk Kedelai,100 g,440.0,62.0,12.0,22.0
Teen Vanilla Caramel,100 g,16000.0,2800.0,250.0,600.0
Susu (Tanpa Lemak Dengan Tambahan Vitamin A Dan Protein),100 g,10100.0,1368.0,62.0,974.0
Keju Cheddar,100 g,403.0,1.28,33.14,24.9
Keju Slice,100 g,294.12,5.88,20.59,17.65
Gold Cheddar,100 g,333.33,20.83,25.0,4.17
Cheddar Cheese,100 g,300.0,10.0,25.0,10.0
Quick Melt (Keju Cepat Leleh),100 g,300.0,13.33,23.33,16.67
Keju Serbaguna,100 g,300.0,26.67,20.0,6.67
Mozzarella & Cheddar,100 g,333.33,13.33,26.67,13.33
Saus Keju,100 g,174.0,6.83,13.29,6.71
Quick Melt,100 g,375.0,12.5,31.25,6.25
Slice Melt,100 g,375.0,6.25,28.12,18.75
Cheese Spread,100 g,300.0,6.67,30.0,6.67
Singles,100 g,305.88,11.76,20.59,17.65
Belcube,100 g,260.0,4.6,20.0,12.0
Cheddar,100 g,300.0,5.0,25.0,20.0
Keju Gouda Atau Edam,100 g,357.0,1.67,27.69,24.98
Cheese Stick Bbq,100 g,291.67,16.67,20.83,16.67
Rich Cheese,100 g,300.0,13.33,23.33,13.33
Keju Ricotta (Susu Murni),100 g,174.0,3.04,12.98,11.26
Mozarella,100 g,350.0,10.0,30.0,15.0
Keju Kambing (Agak Lembut),100 g,364.0,2.54,29.84,21.58
Rendah Lemak (1-2% Lemak) Keju Cottage,100 g,72.0,2.72,1.02,12.39
Milky Soft,100 g,333.33,10.0,26.67,10.0
Ricotta Cheese,100 g,200.0,4.0,18.0,8.0
Spready,100 g,350.0,20.0,30.0,5.0
Baked Cheese Tart,100 g,402.22,42.22,22.22,8.89
Singkong Serut Rasa Keju,100 g,550.0,65.0,30.0,0.0
Finger Cheese Biskuit,100 g,440.0,72.0,10.0,12.0
Keju Ricotta,100 g,156.0,4.09,10.44,11.32
Singles Bbq Chicken,100 g,352.94,17.65,23.53,11.76
Mozza Cheese Slice,100 g,333.33,13.33,26.67,13.33
The Big Cheez,100 g,514.0,53.0,35.0,7.0
Keju Amerika (Kemasan Dingin),100 g,331.0,8.32,24.46,19.66
Raclette Cheese Flavour,100 g,550.0,55.0,35.0,5.0
Keju Cottage (Rendah Lemak 2% Lemak Susu),100 g,90.0,3.63,1.93,13.74
Sagu Keju,100 g,500.0,66.67,16.67,0.0
Keju Parmesan Keras,100 g,392.0,3.22,25.83,35.75
Bisvit Selimut Keju,100 g,450.0,60.0,20.0,10.0
Cedda Cheese Slice,100 g,300.0,20.0,23.33,6.67
Cream Cheese Light,100 g,180.0,2.0,14.0,10.0
Keju Cottage,100 g,103.0,2.68,4.51,12.49
Keju Romano,100 g,387.0,3.63,26.94,31.8
Keju Mozzarella (Tanpa Lemak),100 g,149.0,3.5,0.0,31.7
Zuperrr Keju Malkist,100 g,523.81,61.9,23.81,4.76
Keju Krim (Bebas Lemak ),100 g,96.0,5.8,1.36,14.41
Keju Feta,100 g,264.0,4.09,21.28,14.21
Super Ring,100 g,571.43,50.0,42.86,7.14
Pasta Keju,100 g,625.0,50.0,37.5,0.0
Keju Cottage (Rendah Lemak 1% Lemak Susu),100 g,72.0,2.72,1.02,12.39
Keju Alami,100 g,363.0,2.47,27.77,25.48
Cream Cheese Wafer,100 g,450.0,70.0,20.0,10.0
Keju Edam,100 g,357.0,1.43,27.8,24.99
Keju Kambing (Lembut),100 g,268.0,0.89,21.08,18.52
Mozza Cheese,100 g,333.33,6.67,26.67,13.33
Bocconcini Cheese,100 g,212.12,3.03,18.18,15.15
Cream Cheese,100 g,133.33,3.33,8.33,10.0
Cheese Triangles,100 g,388.89,11.11,33.33,16.67
Cheese Stick Rasa Pizza,100 g,291.67,20.83,20.83,8.33
Shred Cheese,100 g,300.0,33.33,20.0,0.0
Gourmet Slices,100 g,305.88,2.94,24.71,17.06
Keju Camembert,100 g,300.0,0.46,24.26,19.8
Mild Cheese,100 g,300.0,20.0,20.0,6.67
Babybel Mini Original Cheese,100 g,350.0,0.0,25.0,20.0
Smokey Bbq Slices,100 g,323.53,6.47,25.29,17.06
Mini Babybel Tasty Cheddar,100 g,309.09,2.27,24.09,23.18
Cheese Cake,100 g,363.64,43.64,18.18,7.27
Shoops,100 g,228.57,25.71,12.86,2.86
Cheese Stick,100 g,291.67,20.83,18.75,8.33
Cheddar Singles,100 g,300.0,6.67,20.0,13.33
Keju Singles 40% Kurang Lemak,100 g,233.33,6.67,13.33,20.0
Singles Reguler,100 g,300.0,6.67,20.0,13.33
Keju Cheddar Atau Colby (Rendah Lemak),100 g,173.0,1.91,7.0,24.35
Gold Cake Original Japanese Cake,100 g,281.25,31.25,12.5,9.38
Roti Sisir Keju,100 g,371.43,54.29,14.29,5.71
Yogurt Plain,100 g,10000.0,1400.0,250.0,400.0
Yogurt Polos,100 g,63.0,7.04,1.55,5.25
Squeeze Yogurt Blueberry,100 g,83.33,14.17,2.5,2.5
Squeeze Yogurt Original,100 ml,100.0,17.14,2.86,2.86
Greek Yogurt,100 g,100.0,3.75,7.5,3.75
Original Yogurt,100 g,112.0,17.6,3.6,3.2
Greek Yogurt Original,100 g,113.0,6.25,7.5,5.0
Blueberry Yogurt,100 ml,90.0,14.0,2.0,3.0
Yogurt,100 g,100.0,24.29,4.29,4.29
Strawberry Yoghurt,100 ml,100.0,18.0,0.5,4.0
Yogurt Drink Strawberry,100 ml,71.43,14.29,0.0,2.86
Cimory Squeeze,100 ml,100.0,14.29,2.86,4.29
Yogurt Polos (Susu Murni),100 g,61.0,4.66,3.25,3.47
Yogurt Drink,100 ml,80.0,15.2,0.8,2.8
Greek Yogurt Classic,100 ml,55.0,7.5,2.0,2.0
Greek Yogurt Mango,100 g,162.5,12.5,6.25,6.25
Yogurt Drink No Added Sugar,100 ml,37.5,9.17,0.62,1.67
Strawberry Yogurt,100 ml,72.0,11.6,2.0,2.0
Yogurt Strawberry (200Ml),100 ml,50.0,8.5,1.0,2.0
Bulgarian Style Yogurt Original,100 ml,72.0,11.2,1.6,1.6
Biokul Topping Mocha Granola,100 g,230.0,27.0,9.0,10.0
Bulgarian Style Yogurt Drink Slim Berries,100 ml,80.0,14.5,1.5,2.0
Bulgarian Style Yogurt Blueberry,100 ml,82.5,14.0,2.0,2.0
Plain Yogurt (Low Fat),100 ml,87.5,15.0,0.62,5.0
Yogurt Stick Blueberry,100 g,112.5,17.5,3.75,2.5
Yogurt Drink Lychee,100 ml,83.33,15.42,0.83,2.5
Peach Yoghurt,100 g,100.0,16.25,1.88,5.0
Tummy Yogurt Drink Blueberry Redbeet,100 ml,88.89,17.78,1.39,1.67
Yogurt Strawberry Flavor,100 ml,87.5,16.25,0.62,5.0
Banana Yogurt,100 g,83.0,17.3,0.6,2.1
Yogurt Drink Blueberry,100 ml,64.0,15.2,0.0,0.8
Yoghurt,100 ml,85.71,15.71,1.43,2.86
Yogurt Rasa Aprikot,100 ml,100.0,20.0,0.0,4.0
Natural Plain Skim Yoghurt,100 g,56.0,8.0,0.0,5.6
"Yoghurt Buah (Rendah Lemak,11 Gr Protein  Per 240 Gr)",100 g,105.78,18.76,1.42,4.9
Strawberry Yogurt (125G),100 g,14000.0,2300.0,400.0,400.0
Bulgarian Style Yogurt Blueberry (Botol),100 ml,80.0,13.6,2.0,2.4
Yo! Junior Yogurt,100 ml,80.0,14.0,1.75,1.5
Coffee Cream,100 ml,80.0,15.0,1.5,1.5
Apricot Yogurt,100 ml,80.0,8.0,3.5,5.0
Choco Nut Crunch Yoghurt,100 g,120.0,13.0,6.0,3.0
Oats & Multi Grains Yogurt Bar Berries,100 g,520.0,64.0,24.0,4.0
Cherry Yogurt,100 ml,90.0,15.0,0.5,5.0
Set Yogurt Plain Rendah Lemak,100 ml,70.0,10.0,1.0,5.0
Yogurt Polos Susu Murni,100 g,60.0,4.6,3.21,3.43
Tummy Yogurt Coconut Almond With Coconut Slices,100 g,112.5,21.25,1.88,3.75
Mango Yogurt Drink,100 ml,76.0,12.4,2.4,2.0
Yogurt Strawberry (125Ml),100 ml,56.0,10.4,0.8,1.6
Creamix Thick Yogurt Blueberry,100 g,90.91,13.64,3.18,2.73
Yogurt Stick Strawberry,100 g,112.5,17.5,3.75,5.0
Creamy Yogurt Series Honey Granola,100 g,133.33,16.67,5.56,3.33
Greek Style Yogurt With Strawberry,100 g,170.0,18.0,9.0,5.0
Blueberry Yoghurt,100 g,8000.0,1300.0,100.0,400.0
Greek Yogurt Plain,100 g,140.0,8.0,8.0,6.0
Yogurt Polos Tanpa Lemak,100 g,56.0,7.68,0.18,5.73
Set Yogurt Plain,100 ml,70.0,10.0,1.0,5.0
Yoguruto Blackcurrant (200Ml),100 ml,45.0,8.5,1.0,2.0
Yogurt Blueberry,100 ml,100.0,16.25,0.62,6.25
Mango Yogurt,100 g,90.91,14.55,2.73,2.73
Mixed Berry Yogurt,100 g,109.09,17.27,3.18,2.73
Natural Plain Yoghurt,100 g,100.0,10.0,4.0,5.0
Yofit Probiotic,100 ml,61.11,8.33,0.0,5.0
Mango Fruits Yogurt,100 g,92.0,17.2,1.5,2.2
Yoguruto Less Sugar Passionfruit,100 ml,40.0,9.6,0.0,0.8
Greek Style Yoghurt,100 ml,100.0,14.0,2.0,5.0
Greek Yogurt Blueberry,100 g,125.0,12.5,6.25,6.25
Tummy Yogurt Stirred Original,100 g,112.5,21.25,1.88,3.75
Delicyo Strawberry & Banana,100 ml,48.0,9.6,0.4,0.8
Blueberry Redbeet,100 ml,100.0,18.0,2.0,2.0
"Yoghurt Buah (Rendah Lemak, 9 Gr Protein  Per 240 Gr)",100 g,99.0,18.64,1.15,3.98
Yogurt Rasa Mangga,100 ml,110.0,21.0,1.5,4.0
Yoghurt Plain,100 ml,96.0,14.4,3.2,2.8
Tummy Yogurt Lemon,100 g,64.0,10.4,1.2,3.2
Greek Yoghurt Original,100 g,140.0,17.0,4.0,7.0
0% Fat Yogurt Strawberry,100 g,40.8,6.08,0.08,3.2
Greek Yogurt Strawberry,100 g,160.0,16.0,8.0,6.0
Probiotic Drink,100 ml,76.92,16.92,0.0,1.54
Original,100 ml,65.0,14.5,0.0,1.0
Greek Style Yogurt,100 ml,88.0,12.0,3.2,3.2
Yogurt Polos (Rendah Lemak ),100 g,63.0,7.04,1.55,5.25
Yogurt Beku,100 g,107.0,19.62,1.47,4.7
Roti Isi Coklat,100 g,280.0,40.0,10.0,5.0
Roti Tawar (2),100 g,270.27,47.3,4.05,8.11
Roti Isi Krim Coklat,100 g,350.0,53.33,11.67,6.67
Roti Isi Keju,100 g,307.69,46.15,10.77,9.23
Roti Isi Krim Coklat (50G),100 g,360.0,48.0,16.0,8.0
Roti Isi Krim Susu,100 g,293.1,50.0,6.9,6.9
Roti Sobek Coklat,100 g,327.1,53.27,9.35,7.48
Roti Isi Selai Stroberi,100 g,291.67,59.72,4.17,5.56
Roti Isi Cokelat,100 g,220.0,32.0,8.0,4.0
Roti Isi Srikaya,100 g,310.34,53.45,7.76,6.9
Roti Abon Ayam Mayo Pedas,100 g,333.33,46.67,11.67,10.0
Roti Mini Isi Krim Keju,100 g,350.0,42.5,15.0,7.5
Roti Kacang,100 g,217.0,42.4,2.17,6.28
Roti Sandwich Isi Coklat,100 g,285.71,45.24,8.33,7.14
Roti Isi Krim Meses,100 g,375.0,52.5,15.0,7.5
Roti O,100 g,430.0,49.0,23.0,6.0
Roti Isi Selai Cokelat,100 g,340.0,56.0,12.0,8.0
Roti Sisir Mentega,100 g,345.45,45.45,16.36,7.27
Roti Isi Coklat Keju,100 g,339.62,49.06,11.32,7.55
Roti Multigrain,100 g,251.0,46.4,3.8,10.0
Roti Goreng,100 g,320.0,47.69,11.36,7.18
Roti Manis Pandan Srikaya,100 g,316.67,55.0,6.67,6.67
Roti Tawar Gandum (2),100 g,271.43,47.14,5.0,8.57
Roti Manis Kasur Coklat,100 g,264.44,53.33,5.56,8.89
Sausage Bun,100 g,368.0,40.0,10.0,16.0
Roti Isi Chicken Teriyaki,100 g,277.78,47.22,6.94,9.72
Roti Manis Kasur,100 g,325.0,55.0,8.75,8.75
Bagelen Cheese,100 g,500.0,60.0,25.0,10.0
Roti Tawar Kupas,100 g,250.0,42.5,5.0,7.5
Selai Srikaya,100 g,350.0,45.0,17.5,5.0
Roti Sandwich,100 g,288.89,55.56,3.33,8.89
Roti Burger,100 g,300.0,50.0,8.0,10.0
Roti,100 g,371.43,60.0,7.14,8.57
Cheese Danish Bread,100 g,320.0,54.0,7.0,8.0
Roti Panggang Mix Fruit,100 g,323.08,60.0,6.15,6.15
Roti Panggang Rasa Durian,100 g,369.23,52.31,15.38,7.69
Roti Kasur Susu,100 g,314.81,53.7,7.41,9.26
Roti Panggang Rasa Coklat,100 g,375.0,52.5,12.5,12.5
Roti Sobek Coklat Keju,100 g,327.1,47.66,11.21,8.41
Roti Isi Daging Ayam,100 g,280.0,45.33,6.67,9.33
Bagelen,100 g,500.0,70.0,20.0,10.0
Roti Isi Krim Rasa Blueberry,100 g,340.0,58.0,8.0,8.0
Roti Coklat Keju,100 g,157.5,23.5,6.38,5.75
Sandwich Margarin Manis,100 g,375.0,42.5,20.0,5.0
Roti Isi Selai Nanas,100 g,342.86,60.0,7.14,8.57
Focaccia,100 g,292.0,40.64,11.11,6.89
Banh Mi,100 g,200.0,29.0,7.0,13.0
Roti Sandwich Funwari Cokelat Pisang,100 g,285.71,45.05,8.79,6.59
Roti Panggang Rasa Susu Vanila,100 g,631.58,52.63,15.79,7.89
Roti Kasur Coklat Keju,100 g,333.33,50.0,13.33,7.78
Roti Tawar Gandum,100 g,150.0,51.43,5.71,10.0
Roti Krim Keju,100 g,333.33,51.67,11.67,5.0
Roti Manis Kasur Kombinasi,100 g,333.33,53.33,8.89,8.89
Krim Moka,100 g,303.03,45.45,10.61,7.58
Roti Stik Abon Ayam,100 g,342.86,52.86,11.43,10.0
Roti Abon,100 g,430.0,40.0,24.0,11.0
Roti Panggang Coklat,100 g,323.08,60.0,6.15,6.15
Roti Tawar Gandum (1),100 g,257.14,44.29,5.0,8.57
Boti Isi Margarin Meses,100 g,357.14,50.0,14.29,7.14
Multigrain Bread,100 g,300.0,47.5,7.5,10.0
Klasik Pan Pandan,100 g,275.0,57.5,1.25,10.0
Dorayaki Custard Coklat,100 g,309.09,58.18,6.36,7.27
Croiss With Cocoa Cream,100 g,400.0,53.33,20.0,6.67
Butter Croissant,100 g,403.23,41.94,22.58,8.06
Roti Sandwich Rasa Pandan Isi Sarikaya,100 g,265.31,46.94,6.12,6.12
Roti Sandwich Isi Spicy Crab Mayo,100 g,211.54,36.54,4.81,5.77
Roti Tawar,100 g,242.11,46.32,3.16,7.37
Roti Tawar Pandan Kupas,100 g,340.91,59.09,5.68,11.36
Sobek Keju,100 g,333.33,55.0,10.0,8.33
Roti Sandwich Funwari Coklat Stroberi,100 g,263.74,47.25,5.49,5.49
Roti Sandwich Isi Keju,100 g,285.71,38.1,11.9,7.14
Roti Sandwich Funwari Mangga Cheesecake,100 g,274.73,46.15,7.69,6.59
Roti Isi Krim Vanilla,100 g,380.0,48.0,16.0,8.0
Sandwich Gandum Cokelat Hazelnut,100 g,325.0,45.0,12.5,7.5
Roti Sandwich Isi Tuna Mayo Spicy,100 g,211.54,34.62,5.77,7.69
Kue Bolu,100 g,297.0,57.7,4.3,7.3
Kue Coklat (Dengan Campuran Coklat),100 g,367.0,54.6,16.4,4.1
Tart,100 g,278.0,41.55,11.35,3.05
Kue Beras,100 g,224.0,48.69,0.77,4.64
Kue Bolu Coklat,100 g,297.0,54.68,6.05,8.25
Marble Cake,100 g,339.0,61.38,10.89,3.94
Lapis Legit,100 g,415.0,25.26,33.65,5.11
Gold Cake Double Chocolate,100 g,318.18,36.36,15.91,4.55
Kue Tambang,100 g,462.0,54.34,24.13,7.08
Bolu Tape,100 g,324.0,49.69,11.43,5.01
Kue Pia 100 Rasa Pandan,100 g,360.0,68.0,12.0,8.0
Cream Cake Strawberry,100 g,450.0,50.0,25.0,0.0
Graker Richberry Cheese,100 g,450.0,70.0,17.5,5.0
Cream Cake Brownis Isi Krim Strawberry,100 g,400.0,60.0,15.0,0.0
Kuriimu,100 g,368.42,52.63,15.79,5.26
Chocolate Coated Wafer,100 g,500.0,66.67,25.0,8.33
Srikaya Ketan,100 g,264.0,49.07,6.49,2.88
Marshmallow,100 g,416.67,83.33,8.33,0.0
Awug,100 g,90.0,18.17,0.89,1.12
Koya Suuk,100 g,460.0,62.0,17.0,14.0
Bingka,100 g,272.0,39.32,10.68,5.2
Tiramisu,100 g,283.0,24.41,18.2,4.77
Caramelrama,100 g,500.0,70.0,25.0,0.0
Chocolate Strawberry Layer Cake,100 g,400.0,43.75,21.88,6.25
Mug Cake Cokelat,100 g,357.14,50.0,14.29,2.38
Bolu Kukus,100 g,297.0,56.85,4.57,7.01
Japanese Cheese Cake,100 g,303.03,30.3,15.15,9.09
Fresh Cream Dorayaki,100 g,323.94,40.85,14.08,5.63
Red Velvet Cake,100 g,488.64,53.41,29.55,4.55
Steam Cake Strawberry Flavor,100 g,375.0,53.75,15.0,5.0
Kue Mangkok Dengan Campuran (Rendah Lemak),100 g,305.0,67.2,3.7,4.3
New York Cheesecake,100 g,388.43,30.0,27.02,6.2
Nextar,100 g,450.0,70.0,20.0,0.0
Toast Slices,100 g,540.0,56.0,30.0,8.0
Nastar,100 g,433.33,63.33,20.0,3.33
Fluffy Cream Roll,100 g,316.46,30.38,18.99,6.33
Yangko,100 g,256.0,58.04,1.1,3.08
Kaliadrem,100 g,338.0,54.28,12.03,3.35
Lapis Bogor Full Talas,100 g,360.0,40.0,18.0,6.0
Lapis Bogor Blackforest,100 g,420.0,44.0,24.0,6.0
Chocolate Butter Cookies,100 g,550.0,58.33,31.67,6.67
Kue Bikang,100 g,188.0,38.34,2.85,2.13
Kue Cincin,100 g,434.0,64.47,18.22,3.33
Bolu Susu Lembang Rasa Coklat,100 g,380.0,42.0,20.0,6.0
Bakpia Kukus Original Cokelat,100 g,400.0,44.0,22.0,6.0
Kue Lapis Kukus Rasa Blackforest,100 g,380.0,42.0,22.0,6.0
Mooncake Kacang Hijau,100 g,400.0,65.0,13.33,5.0
Kue Ku,100 g,357.0,75.79,2.3,6.67
Kue Gambang,100 g,390.0,68.0,10.0,6.0
Kue Keju,100 g,321.0,25.5,22.5,5.5
Wajik,100 g,304.0,68.43,1.36,3.98
Kue Coklat Keju,100 g,389.0,38.44,24.75,6.6
Chokoreto Cookies,100 g,520.0,64.0,24.0,4.0
Nextar Brownies,100 g,450.0,70.0,20.0,0.0
